[[[ 485.98117065  423.67608643]]

 [[ 422.78100586  424.14758301]]

 [[ 359.69247437  424.02871704]]

 [[ 296.64208984  423.97875977]]

 [[ 233.5254364   423.91848755]]

 [[ 170.66163635  423.98709106]]

 [[ 107.54305267  423.85510254]]

 [[ 486.07574463  360.6847229 ]]

 [[ 422.87637329  360.91403198]]

 [[ 359.65808105  361.11709595]]

 [[ 296.55517578  360.93029785]]

 [[ 233.38801575  361.00421143]]

 [[ 170.54249573  361.00323486]]

 [[ 107.41358948  360.82653809]]

 [[ 485.6958313   297.51235962]]

 [[ 422.64511108  297.79553223]]

 [[ 359.49954224  297.94335938]]

 [[ 296.44314575  297.762146  ]]

 [[ 233.28681946  297.81576538]]

 [[ 170.43429565  298.07550049]]

 [[ 107.32461548  297.67950439]]

 [[ 485.65530396  234.44508362]]

 [[ 422.79351807  234.55618286]]

 [[ 359.44537354  234.85108948]]

 [[ 296.42547607  234.66621399]]

 [[ 233.39479065  234.71588135]]

 [[ 170.57807922  234.81866455]]

 [[ 107.54692078  234.53163147]]

 [[ 485.84564209  171.33894348]]

 [[ 422.68899536  171.49604797]]

 [[ 359.64151001  171.4916687 ]]

 [[ 296.34002686  171.52583313]]

 [[ 233.51197815  171.59745789]]

 [[ 170.41497803  171.59815979]]

 [[ 107.45388031  171.43392944]]

 [[ 485.64859009  108.15242004]]

 [[ 422.53106689  108.33909607]]

 [[ 359.4828186   108.28690338]]

 [[ 296.37924194  108.42133331]]

 [[ 233.42286682  108.54849243]]

 [[ 170.37342834  108.64763641]]

 [[ 107.54190063  108.62348938]]]
